Methods Information:
23.04.2024 13:22:19
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
23.04.2024 13:33:58
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER A     0.50
--------------------------------------------------
--------------------------------------------------
23.04.2024 13:49:22
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER A     0.50
--------------------------------------------------
--------------------------------------------------
23.04.2024 13:59:55
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER A     0.50
--------------------------------------------------
--------------------------------------------------
23.04.2024 14:06:49
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:	Events:		
4.433	0.0088	119.80			
4.450	0.0088	119.51			
4.467	0.0088	119.22			
4.483	0.0089	118.99			
4.500	0.0090	119.09			
4.517	0.0089	118.99			
4.533	0.0088	119.15			
4.550	0.0087	119.28			
4.567	0.0087	119.38			
4.583	0.0087	119.19			
4.600	0.0087	119.07			
4.617	0.0087	119.11			
4.633	0.0086	119.32			
4.650	0.0087	119.30			
4.667	0.0087	118.93			
4.683	0.0087	118.90			
4.700	0.0087	118.94			
4.717	0.0087	118.94			
4.733	0.0087	118.81			
4.750	0.0087	118.75			
4.767	0.0087	118.83			
4.783	0.0086	119.46			
4.800	0.0085	119.41			
4.817	0.0085	119.27			
4.833	0.0086	118.88			
4.850	0.0086	118.67			
4.867	0.0086	118.70			
4.883	0.0086	118.49			
4.900	0.0086	118.46			
4.917	0.0086	118.25			
4.933	0.0086	118.17			
4.950	0.0085	118.10			
4.967	0.0085	118.20			
4.983	0.0086	118.38			
5.000	0.0085	118.13			
5.017	0.0083	118.72			
5.033	0.0084	118.34			
5.050	0.0084	115.95			
5.067	0.0082	114.82			
5.083	0.0081	115.08			
5.100	0.0083	115.66			
5.117	0.0084	116.39			
5.133	0.0085	116.37			
5.150	0.0085	116.20			
5.167	0.0086	116.18			
5.183	0.0086	116.10			
5.200	0.0087	116.18			
5.217	0.0087	116.23			
5.233	0.0085	116.15			
5.250	0.0086	116.21			
5.267	0.0087	116.07			
5.283	0.0087	115.87			
5.300	0.0087	115.81			
5.317	0.0086	115.94			
5.333	0.0085	116.12			
5.350	0.0086	116.05			
5.367	0.0086	116.02			
5.383	0.0086	115.95			
5.400	0.0086	115.94			
5.417	0.0087	115.92			
5.433	0.0087	115.89			
5.450	0.0087	115.91			
5.467	0.0088	115.92			
5.483	0.0089	115.92			
5.500	0.0089	115.75			
5.517	0.0090	115.73			
5.533	0.0090	115.75			
5.550	0.0089	115.76			
5.567	0.0090	115.76			
5.583	0.0090	115.79			
5.600	0.0089	115.83			
5.617	0.0088	115.86			
5.633	0.0088	115.88			
5.650	0.0088	115.91			
5.667	0.0088	115.94			
5.683	0.0088	115.96			
5.700	0.0088	115.96			
5.717	0.0087	115.96			
5.733	0.0086	115.97			
5.750	0.0087	116.02			
5.767	0.0086	116.05			
5.783	0.0085	116.13			
5.800	0.0085	116.20			
5.817	0.0085	116.21			
5.833	0.0084	116.23			
5.850	0.0084	116.26			
5.867	0.0084	116.26			
5.883	0.0085	116.29			
5.900	0.0085	115.99			
5.917	0.0084	116.02			
5.933	0.0084	116.02			
5.950	0.0085	116.02			
5.967	0.0084	116.06			
5.983	0.0084	116.04			
6.000	0.0083	116.06			
6.017	0.0083	116.02			
6.033	0.0083	116.02			
6.050	0.0083	116.01			
6.067	0.0082	115.97			
6.083	0.0083	116.01			
6.100	0.0083	115.97			
6.117	0.0082	115.93			
6.133	0.0082	115.89			
6.150	0.0083	115.83			
6.167	0.0083	115.80			
6.183	0.0082	115.77			
6.200	0.0083	115.70			
6.217	0.0082	115.51			
6.233	0.0082	115.46			
6.250	0.0081	115.45			
6.267	0.0081	115.43			
6.283	0.0081	115.43			
6.300	0.0081	115.43			
6.317	0.0081	115.41			
6.333	0.0082	115.41			
6.350	0.0082	115.43			
6.367	0.0081	115.40			
6.383	0.0081	115.40			
6.400	0.0081	115.38			
6.417	0.0080	115.38			
6.433	0.0080	115.40			
6.450	0.0080	115.38			
6.467	0.0081	115.37			
6.483	0.0081	115.37			
6.500	0.0081	115.35			
6.517	0.0081	115.35			
6.533	0.0080	115.33			
6.550	0.0081	115.33			
6.567	0.0081	115.33			
6.583	0.0081	115.32			
6.600	0.0080	115.32			
6.617	0.0080	115.33			
6.633	0.0080	115.33			
6.650	0.0081	115.33			
6.667	0.0081	115.33			
6.683	0.0081	115.33			
6.700	0.0081	115.30			
6.717	0.0080	115.30			
6.733	0.0080	115.30			
6.750	0.0081	115.27			
6.767	0.0081	115.28			
6.783	0.0081	115.28			
6.800	0.0081	115.28			
6.817	0.0082	115.28			
6.833	0.0082	115.27			
6.850	0.0083	115.25			
6.867	0.0083	115.05			
6.883	0.0085	115.05			
6.900	0.0087	115.05			
6.917	0.0090	115.03			
6.933	0.0095	115.05			
6.950	0.0100	115.05			
6.967	0.0107	115.01			
6.983	0.0114	115.03			
7.000	0.0122	115.03			
7.017	0.0131	115.05			
7.033	0.0140	115.03			
7.050	0.0149	115.05			
7.067	0.0161	115.06			
7.083	0.0172	115.06			
7.100	0.0185	115.08			
7.117	0.0200	115.08			
7.133	0.0214	115.06			
7.150	0.0230	115.06			
7.167	0.0249	115.05			
7.183	0.0268	115.03			
7.200	0.0289	115.03			
7.217	0.0308	115.00			
7.233	0.0329	115.00			
7.250	0.0350	114.98			
7.267	0.0369	114.97			
7.283	0.0389	114.93			
7.300	0.0406	114.90			
7.317	0.0422	114.89			
7.333	0.0437	114.85			
7.350	0.0449	114.84			
7.367	0.0459	114.82			
7.383	0.0465	114.79			
7.400	0.0472	114.77			
7.417	0.0476	114.76			
7.433	0.0481	114.74			
7.450	0.0484	114.72			
7.467	0.0485	114.71			
7.483	0.0489	114.69			
7.500	0.0490	114.68			
7.517	0.0493	114.66			
7.533	0.0495	114.64			
7.550	0.0495	114.63			
7.567	0.0499	114.61			
7.583	0.0498	114.60			
7.600	0.0499	114.58			
7.617	0.0500	114.58			
7.633	0.0500	114.55			
7.650	0.0502	114.53			
7.667	0.0503	114.53			
7.683	0.0505	114.52			
7.700	0.0507	114.50			
7.717	0.0508	114.48			
7.733	0.0511	114.48			
7.750	0.0513	114.47			
7.767	0.0516	114.45			
7.783	0.0519	114.44			
7.800	0.0523	114.37			
7.817	0.0529	114.29			
7.833	0.0534	114.28			
7.850	0.0540	114.24			
7.867	0.0546	114.26			
7.883	0.0552	113.96			
7.900	0.0559	114.24			
7.917	0.0566	113.96			
7.933	0.0573	113.94			
7.950	0.0580	113.94			
7.967	0.0587	113.93			
7.983	0.0594	113.91			
8.000	0.0602	113.91			
8.017	0.0609	113.90			
8.033	0.0617	113.90			
8.050	0.0623	113.90			
8.067	0.0629	113.88			
8.083	0.0636	113.90			
8.100	0.0640	113.88			
8.117	0.0646	113.88			
8.133	0.0650	113.88			
8.150	0.0654	113.86			
8.167	0.0659	113.88			
8.183	0.0660	113.86			
8.200	0.0663	113.85			
8.217	0.0665	113.85			
8.233	0.0666	113.85			
8.250	0.0667	113.85			
8.267	0.0668	113.85			
8.283	0.0669	113.83			
8.300	0.0670	113.85			
8.317	0.0669	113.83			
8.333	0.0671	113.83			
8.350	0.0672	113.83			
8.367	0.0672	113.83			
8.383	0.0671	113.83			
8.400	0.0672	113.82			
8.417	0.0673	113.82			
8.433	0.0674	113.82			
8.450	0.0674	113.80			
8.467	0.0676	113.82			
8.483	0.0676	113.82			
8.500	0.0676	113.82			
8.517	0.0677	113.82			
8.533	0.0679	113.80			
8.550	0.0681	113.80			
8.567	0.0682	113.78			
8.583	0.0682	113.80			
8.600	0.0682	113.80			
8.617	0.0682	113.78			
8.633	0.0683	113.78			
8.650	0.0684	113.78			
8.667	0.0684	113.77			
8.683	0.0685	113.78			
8.700	0.0686	113.77			
8.717	0.0687	113.78			
8.733	0.0687	113.78			
8.750	0.0687	113.78			
8.767	0.0687	113.78			
8.783	0.0689	113.77			
8.800	0.0689	113.77			
8.817	0.0689	113.77			
8.833	0.0688	113.75			
8.850	0.0689	113.77			
8.867	0.0690	113.77			
8.883	0.0690	113.78			
8.900	0.0689	113.77			
8.917	0.0689	113.77			
8.933	0.0688	113.77			
8.950	0.0689	113.77			
8.967	0.0689	113.77			
8.983	0.0689	113.77			
9.000	0.0689	113.77			
9.017	0.0689	113.77			
9.033	0.0688	113.77			
9.050	0.0687	113.77			
9.067	0.0686	113.77			
9.083	0.0686	113.77			
9.100	0.0686	113.77			
9.117	0.0685	113.77			
9.133	0.0685	113.77			
9.150	0.0684	113.78			
9.167	0.0683	113.78			
9.183	0.0682	113.78			
9.200	0.0681	113.78			
9.217	0.0680	113.77			
9.233	0.0679	113.78			
9.250	0.0678	113.78			
9.267	0.0677	113.78			
9.283	0.0676	113.78			
9.300	0.0675	113.78			
9.317	0.0673	113.78			
9.333	0.0670	113.78			
9.350	0.0668	113.78			
9.367	0.0667	113.80			
9.383	0.0665	113.59			
9.400	0.0663	113.61			
9.417	0.0661	113.59			
9.433	0.0659	113.61			
9.450	0.0657	113.61			
9.467	0.0654	113.61			
9.483	0.0652	113.63			
9.500	0.0648	113.61			
9.517	0.0646	113.63			
9.533	0.0644	113.61			
9.550	0.0641	113.61			
9.567	0.0639	113.63			
9.583	0.0637	113.63			
9.600	0.0633	113.63			
9.617	0.0630	113.63			
9.633	0.0627	113.63			
9.650	0.0624	113.63			
9.667	0.0620	113.63			
9.683	0.0616	113.63			
9.700	0.0614	113.64			
9.717	0.0611	113.64			
9.733	0.0607	113.66			
9.750	0.0603	113.66			
9.767	0.0599	113.64			
9.783	0.0595	113.66			
9.800	0.0592	113.64			
9.817	0.0588	113.66			
9.833	0.0585	113.66			
9.850	0.0580	113.64			
9.867	0.0576	113.64			
9.883	0.0572	113.64			
9.900	0.0569	113.64			
9.917	0.0565	113.64			
9.933	0.0563	113.64			
9.950	0.0560	113.64			
9.967	0.0557	113.64			
9.983	0.0554	113.64			
10.000	0.0552	113.64			
10.017	0.0549	113.63			
10.033	0.0547	113.63			
10.050	0.0545	113.63			
10.067	0.0543	113.63			
10.083	0.0541	113.61			
10.100	0.0537	113.61			
10.117	0.0534	113.63			
10.133	0.0530	113.63			
10.150	0.0526	113.63			
10.167	0.0522	113.61			
10.183	0.0518	113.59			
10.200	0.0513	113.61			
10.217	0.0509	113.59			
10.233	0.0503	113.59			
10.250	0.0499	113.59			
10.267	0.0495	113.59			
10.283	0.0491	113.59			
10.300	0.0486	113.58			
10.317	0.0482	113.56			
10.333	0.0478	113.56			
10.350	0.0474	113.56			
10.367	0.0470	113.56			
10.383	0.0466	113.56			
10.400	0.0461	113.55			
10.417	0.0457	113.56			
10.433	0.0453	113.55			
10.450	0.0448	113.55			
10.467	0.0446	113.55			
10.483	0.0443	113.51			
10.500	0.0439	113.51			
10.517	0.0435	113.51			
10.533	0.0431	113.51			
10.550	0.0428	113.50			
10.567	0.0424	113.50			
10.583	0.0421	113.50			
10.600	0.0417	113.48			
10.617	0.0414	113.48			
10.633	0.0411	113.48			
10.650	0.0407	113.47			
10.667	0.0403	113.28			
10.683	0.0400	113.45			
10.700	0.0397	113.45			
10.717	0.0393	113.25			
10.733	0.0390	113.43			
10.750	0.0388	113.26			
10.767	0.0385	113.43			
10.783	0.0382	113.23			
10.800	0.0378	113.25			
10.817	0.0374	113.21			
10.833	0.0372	113.23			
10.850	0.0369	113.23			
10.867	0.0365	113.23			
10.883	0.0361	113.23			
10.900	0.0358	113.21			
10.917	0.0356	113.21			
10.933	0.0353	113.21			
10.950	0.0349	113.20			
10.967	0.0346	113.20			
10.983	0.0344	113.18			
11.000	0.0341	113.18			
11.017	0.0337	113.18			
11.033	0.0335	113.18			
11.050	0.0332	113.17			
11.067	0.0329	113.17			
11.083	0.0326	113.17			
11.100	0.0324	113.17			
11.117	0.0321	113.15			
11.133	0.0317	113.15			
11.150	0.0315	113.13			
11.167	0.0312	113.13			
11.183	0.0311	113.12			
11.200	0.0309	113.12			
11.217	0.0306	113.12			
11.233	0.0303	113.12			
11.250	0.0301	113.10			
11.267	0.0298	113.10			
11.283	0.0295	113.10			
11.300	0.0293	113.09			
11.317	0.0290	113.07			
11.333	0.0288	113.07			
11.350	0.0287	113.07			
11.367	0.0284	113.07			
11.383	0.0281	113.07			
11.400	0.0278	113.07			
11.417	0.0276	113.05			
11.433	0.0273	113.05			
11.450	0.0271	113.05			
11.467	0.0268	113.04			
11.483	0.0267	113.05			
11.500	0.0265	113.04			
11.517	0.0263	113.02			
11.533	0.0261	113.01			
11.550	0.0258	113.01			
11.567	0.0256	113.01			
11.583	0.0254	113.01			
11.600	0.0252	112.99			
11.617	0.0250	112.99			
11.633	0.0247	112.97			
11.650	0.0245	112.97			
11.667	0.0243	112.96			
11.683	0.0242	112.97			
11.700	0.0240	112.96			
11.717	0.0238	112.96			
11.733	0.0237	112.96			
11.750	0.0235	112.94			
11.767	0.0233	112.94			
11.783	0.0230	112.93			
11.800	0.0229	112.93			
11.817	0.0228	112.93			
11.833	0.0226	112.91			
11.850	0.0223	112.93			
11.867	0.0221	112.91			
11.883	0.0220	112.89			
11.900	0.0219	112.89			
11.917	0.0217	112.89			
11.933	0.0216	112.89			
11.950	0.0215	112.89			
11.967	0.0212	112.88			
11.983	0.0211	112.86			
12.000	0.0210	112.88			
12.017	0.0209	112.88			
12.033	0.0209	112.86			
12.050	0.0207	112.86			
12.067	0.0207	112.86			
12.083	0.0206	112.86			
12.100	0.0204	112.85			
12.117	0.0202	112.85			
12.133	0.0200	112.83			
12.150	0.0200	112.83			
12.167	0.0198	112.83			
12.183	0.0197	112.83			
12.200	0.0196	112.83			
12.217	0.0194	112.81			
12.233	0.0192	112.81			
12.250	0.0191	112.81			
12.267	0.0190	112.80			
12.283	0.0188	112.81			
12.300	0.0186	112.80			
12.317	0.0185	112.81			
12.333	0.0184	112.80			
12.350	0.0183	112.78			
12.367	0.0181	112.78			
12.383	0.0180	112.78			
12.400	0.0179	112.78			
12.417	0.0178	112.78			
12.433	0.0177	112.78			
12.450	0.0175	112.77			
12.467	0.0173	112.77			
12.483	0.0173	112.75			
12.500	0.0171	112.75			
12.517	0.0171	112.75			
12.533	0.0169	112.75			
12.550	0.0168	112.75			
12.567	0.0166	112.75			
12.583	0.0166	112.75			
12.600	0.0165	112.74			
12.617	0.0165	112.72			
12.633	0.0163	112.72			
12.650	0.0163	112.72			
12.667	0.0162	112.72			
12.683	0.0161	112.72			
12.700	0.0160	112.72			
12.717	0.0160	112.72			
12.733	0.0159	112.72			
12.750	0.0158	112.72			
12.767	0.0157	112.72			
12.783	0.0157	112.70			
12.800	0.0155	112.72			
12.817	0.0154	112.70			
12.833	0.0153	112.70			
12.850	0.0153	112.69			
12.867	0.0152	112.69			
12.883	0.0151	112.69			
12.900	0.0151	112.69			
12.917	0.0150	112.67			
12.933	0.0150	112.69			
12.950	0.0149	112.67			
12.967	0.0148	112.67			
12.983	0.0147	112.66			
13.000	0.0146	112.66			
13.017	0.0145	112.66			
13.033	0.0145	112.67			
13.050	0.0144	112.67			
13.067	0.0144	112.66			
13.083	0.0143	112.66			
13.100	0.0143	112.64			
13.117	0.0141	112.66			
13.133	0.0141	112.64			
13.150	0.0141	112.62			
13.167	0.0140	112.64			
13.183	0.0139	112.64			
13.200	0.0138	112.64			
13.217	0.0138	112.64			
13.233	0.0138	112.64			
13.250	0.0136	112.64			
13.267	0.0136	112.62			
13.283	0.0136	112.62			
13.300	0.0135	112.62			
13.317	0.0134	112.61			
13.333	0.0133	112.62			
13.350	0.0134	112.64			
13.367	0.0134	112.62			
13.383	0.0133	112.62			
13.400	0.0132	112.61			
13.417	0.0131	112.61			
13.433	0.0131	112.61			
13.450	0.0130	112.59			
13.467	0.0129	112.61			
13.483	0.0129	112.59			
13.500	0.0129	112.59			
13.517	0.0129	112.61			
13.533	0.0129	112.59			
13.550	0.0128	112.58			
13.567	0.0128	112.59			
13.583	0.0127	112.59			
13.600	0.0127	112.58			
13.617	0.0127	112.58			
13.633	0.0127	112.56			
13.650	0.0126	112.56			
13.667	0.0125	112.56			
13.683	0.0123	112.56			
13.700	0.0122	112.54			
13.717	0.0122	112.56			
13.733	0.0123	112.54			
13.750	0.0122	112.53			
13.767	0.0122	112.53			
13.783	0.0122	112.54			
13.800	0.0121	112.53			
13.817	0.0120	112.53			
13.833	0.0120	112.51			
13.850	0.0120	112.51			
13.867	0.0120	112.50			
13.883	0.0120	112.50			
13.900	0.0118	112.51			
13.917	0.0119	112.50			
13.933	0.0119	112.51			
13.950	0.0118	112.50			
13.967	0.0117	112.50			
13.983	0.0116	112.50			
14.000	0.0116	112.50			
14.017	0.0116	112.50			
14.033	0.0116	112.48			
14.050	0.0116	112.48			
14.067	0.0115	112.48			
14.083	0.0114	112.46			
14.100	0.0114	112.48			
14.117	0.0114	112.48			
14.133	0.0114	112.46			
14.150	0.0113	112.46			
14.167	0.0113	112.45			
14.183	0.0113	112.45			
14.200	0.0113	112.45			
14.217	0.0113	112.43			
14.233	0.0113	112.45			
14.250	0.0113	112.45			
14.267	0.0113	112.45			
14.283	0.0112	112.45			
14.300	0.0110	112.43			
14.317	0.0110	112.43			
14.333	0.0110	112.43			
14.350	0.0110	112.43			
14.367	0.0110	112.43			
14.383	0.0110	112.43			
14.400	0.0109	112.43			
14.417	0.0109	112.43			
14.433	0.0109	112.42			
14.450	0.0108	112.43			
14.467	0.0108	112.42			
14.483	0.0108	112.42			
14.500	0.0108	112.42			
14.517	0.0107	112.43			
14.533	0.0105	112.42			
14.550	0.0105	112.40			
14.567	0.0106	112.42			
14.583	0.0107	112.42			
14.600	0.0107	112.40			
14.617	0.0107	112.40			
14.633	0.0107	112.38			
14.650	0.0107	112.38			
14.667	0.0107	112.40			
14.683	0.0106	112.38			
14.700	0.0106	112.40			
14.717	0.0106	112.38			
14.733	0.0106	112.38			
14.750	0.0106	112.40			
14.767	0.0106	112.38			
14.783	0.0105	112.37			
14.800	0.0106	112.35			
14.817	0.0106	112.37			
14.833	0.0105	112.37			
14.850	0.0104	112.37			
14.867	0.0103	112.37			
14.883	0.0103	112.35			
14.900	0.0103	112.35			
14.917	0.0103	112.29			
14.933	0.0103	112.19			
14.950	0.0102	112.19			
14.967	0.0102	112.18			
14.983	0.0102	112.19			
15.000	0.0102	112.19			
15.017	0.0101	112.21			
15.033	0.0103	111.72			
15.050	0.0104	111.58			
15.067	0.0102	111.42			
15.083	0.0102	111.42			
15.100	0.0104	111.40			
15.117	0.0106	111.40			
15.133	0.0106	111.40			
15.150	0.0104	111.40			
15.167	0.0103	111.40			
15.183	0.0103	111.40			
15.200	0.0104	111.40			
15.217	0.0104	111.38			
15.233	0.0105	111.38			
15.250	0.0106	111.38			
15.267	0.0107	111.38			
15.283	0.0106	111.37			
15.300	0.0105	111.38			
15.317	0.0104	111.38			
15.333	0.0104	111.38			
